Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2015,us,All,All Origins,A,666,nvss,Deaths,absolute number,A,60265.1284591403,258328.599277646,527778.010488514,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,Deaths,absolute number,C,55056.0735130439,237431.969098755,487703.99228464,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,16.209047029023,69.4806519407315,141.952382938877,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,C,14.8080076758042,63.8602464097386,131.173983185711,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,Deaths,crude rate,A,27.8850728134729,119.530348392829,244.206369887692,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,Deaths,crude rate,C,25.4748086992968,109.861339647752,225.663857092733,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,YLL,absolute number,A,1231038.02807243,5276887.93802337,10780941.1164248,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,YLL,absolute number,C,1124632.46829152,4850031.69351669,9962347.65104985,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,YLL,age-adjusted rate,A,338.275187621294,1450.02852599642,2962.47946507641,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,YLL,age-adjusted rate,C,309.036155294082,1332.7333061047,2737.53933181435,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,YLL,crude rate,A,569.609423005344,2441.65088737982,4988.41263124654,EPA,attributable,25,150
2015,us,All,All Origins,A,666,nvss,YLL,crude rate,C,520.374867996292,2244.14168490588,4609.64403039487,EPA,attributable,25,150
2015,us,All,All Origins,A,higher,nvss,Deaths,absolute number,A,9529.01122489749,40830.3819799283,83388.8781470117,EPA,attributable,25,150
2015,us,All,All Origins,A,higher,nvss,Deaths,absolute number,C,8666.99403803651,37372.3666073185,76757.4415540641,EPA,attributable,25,150
2015,us,All,All Origins,A,higher,nvss,Deaths,age-adjusted rate,A,10.7295987052277,45.9747190223826,93.8952822994699,EPA,attributable,25,150
2015,us,All,All Origins,A,higher,nvss,Deaths,age-adjusted rate,C,9.75897349829527,42.0810183656273,86.4283319724956,EPA,attributable,25,150
2015,us,All,All Origins,A,higher,nvss,Deaths,crude rate,A,15.1368821523987,64.8592666837002,132.463651426293,EPA,attributable,25,150
