Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,mean,lower,upper,source,method
2010,All,All Origins,1,A,us,Deaths,absolute number,attributable,25,64,599.498609617162,399.514723906495,879.416001106689,nvss,GBD
2010,All,All Origins,1,A,us,Deaths,age-adjusted rate,attributable,25,64,1.34060794053444,0.908291243551302,1.94797177133931,nvss,GBD
2010,All,All Origins,1,A,us,Deaths,crude rate,attributable,25,64,7.69697707254795,5.12937915238425,11.2908431965715,nvss,GBD
2010,All,All Origins,1,A,us,YLL,absolute number,attributable,25,64,21532.2301473756,14432.2486364919,31441.74985624,nvss,GBD
2010,All,All Origins,1,A,us,YLL,age-adjusted rate,attributable,25,64,51.7570390746324,35.4077961751548,74.7516825119441,nvss,GBD
2010,All,All Origins,1,A,us,YLL,crude rate,attributable,25,64,276.452820918154,185.295987477482,403.681382878955,nvss,GBD
2010,All,All Origins,1,F,us,Deaths,absolute number,attributable,25,64,203.985152435124,138.556399496405,292.164715050935,nvss,GBD
2010,All,All Origins,1,F,us,Deaths,age-adjusted rate,attributable,25,64,0.945533782878769,0.652086297367557,1.34849804038581,nvss,GBD
2010,All,All Origins,1,F,us,Deaths,crude rate,attributable,25,64,5.67523687311539,3.85489030961796,8.12855222101356,nvss,GBD
2010,All,All Origins,1,F,us,YLL,absolute number,attributable,25,64,7277.50931343054,4966.79717843559,10406.4109338268,nvss,GBD
2010,All,All Origins,1,F,us,YLL,age-adjusted rate,attributable,25,64,36.4283637189009,25.2934411821873,51.7424124625438,nvss,GBD
2010,All,All Origins,1,F,us,YLL,crude rate,attributable,25,64,202.473507051732,138.18530491972,289.525224475484,nvss,GBD
2010,All,All Origins,1,M,us,Deaths,absolute number,attributable,25,64,394.232423591111,259.683919005296,584.620044178063,nvss,GBD
2010,All,All Origins,1,M,us,Deaths,age-adjusted rate,attributable,25,64,1.69787877302677,1.13576558828796,2.49819398711114,nvss,GBD
2010,All,All Origins,1,M,us,Deaths,crude rate,attributable,25,64,9.39890177766038,6.19112863862303,13.9379362114065,nvss,GBD
2010,All,All Origins,1,M,us,YLL,absolute number,attributable,25,64,14209.3186396756,9386.53489634702,20946.7641203071,nvss,GBD
2010,All,All Origins,1,M,us,YLL,age-adjusted rate,attributable,25,64,65.4460164695037,44.3288530764034,95.5447336063003,nvss,GBD
2010,All,All Origins,1,M,us,YLL,crude rate,attributable,25,64,338.764602376558,223.784534817588,499.392152307551,nvss,GBD
2010,All,All Origins,2,A,us,Deaths,absolute number,attributable,25,64,1329.55072114693,879.459747899851,1948.01499797665,nvss,GBD
2010,All,All Origins,2,A,us,Deaths,age-adjusted rate,attributable,25,64,2.15118929691338,1.44179079779856,3.12742316474403,nvss,GBD
2010,All,All Origins,2,A,us,Deaths,crude rate,attributable,25,64,10.4893377022665,6.93839666629179,15.3686405774955,nvss,GBD
2010,All,All Origins,2,A,us,YLL,absolute number,attributable,25,64,49953.3848512681,33209.6495385025,72901.7611428873,nvss,GBD
2010,All,All Origins,2,A,us,YLL,age-adjusted rate,attributable,25,64,86.6224656832946,58.4584836887016,125.298614957612,nvss,GBD
2010,All,All Origins,2,A,us,YLL,crude rate,attributable,25,64,394.101492137306,262.003715573011,575.150071039079,nvss,GBD
