Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source,method
2013,All,All Origins,1,A,us,Deaths,absolute number,attributable,5874.12540859628,3751.24221037833,8723.06129344096,nvss,GBD
2013,All,All Origins,1,A,us,Deaths,age-adjusted rate,attributable,3.95333804653729,2.5731481737013,5.75031550282172,nvss,GBD
2013,All,All Origins,1,A,us,Deaths,crude rate,attributable,47.8629409380845,30.5654836883526,71.0763455741451,nvss,GBD
2013,All,All Origins,1,A,us,YLL,absolute number,attributable,104966.013126358,67801.2555154286,154982.092915056,nvss,GBD
2013,All,All Origins,1,A,us,YLL,age-adjusted rate,attributable,111.54969459431,73.4434521999993,161.70760730925,nvss,GBD
2013,All,All Origins,1,A,us,YLL,crude rate,attributable,855.273208743704,552.451175712713,1262.80905559125,nvss,GBD
2013,All,All Origins,1,F,us,Deaths,absolute number,attributable,2704.80991851663,1743.27305077371,4007.62478280843,nvss,GBD
2013,All,All Origins,1,F,us,Deaths,age-adjusted rate,attributable,3.00496431924067,1.96873540796946,4.36332718991874,nvss,GBD
2013,All,All Origins,1,F,us,Deaths,crude rate,attributable,43.8542987856065,28.2644694217377,64.9774216822853,nvss,GBD
2013,All,All Origins,1,F,us,YLL,absolute number,attributable,43242.1420385935,28131.7640640149,63504.556834922,nvss,GBD
2013,All,All Origins,1,F,us,YLL,age-adjusted rate,attributable,79.6499739343398,53.0475667590189,114.408848453333,nvss,GBD
2013,All,All Origins,1,F,us,YLL,crude rate,attributable,701.104282451802,456.112933549905,1029.62791973697,nvss,GBD
2013,All,All Origins,1,M,us,Deaths,absolute number,attributable,3141.44066418026,2004.44364350339,4694.39426007194,nvss,GBD
2013,All,All Origins,1,M,us,Deaths,age-adjusted rate,attributable,4.88749489669341,3.1293255965905,7.15525179945566,nvss,GBD
2013,All,All Origins,1,M,us,Deaths,crude rate,attributable,51.4561246832602,32.8323572100932,76.8931716944191,nvss,GBD
2013,All,All Origins,1,M,us,YLL,absolute number,attributable,61097.7300463472,39272.7664192337,90451.3955084563,nvss,GBD
2013,All,All Origins,1,M,us,YLL,age-adjusted rate,attributable,141.360621440966,91.9320961883182,207.498982256657,nvss,GBD
2013,All,All Origins,1,M,us,YLL,crude rate,attributable,1000.76772131215,643.279495476946,1481.57446935975,nvss,GBD
2013,All,All Origins,2,A,us,Deaths,absolute number,attributable,6435.2514112437,4027.08940686443,9664.00585452998,nvss,GBD
2013,All,All Origins,2,A,us,Deaths,age-adjusted rate,attributable,5.07128880744399,3.15713895547513,7.57037598691147,nvss,GBD
2013,All,All Origins,2,A,us,Deaths,crude rate,attributable,38.7317721693188,24.2377957665535,58.1646386567947,nvss,GBD
2013,All,All Origins,2,A,us,YLL,absolute number,attributable,149606.40230014,93616.0818748483,224211.025150273,nvss,GBD
2013,All,All Origins,2,A,us,YLL,age-adjusted rate,attributable,167.20016530398,105.227614155172,248.931992370863,nvss,GBD
2013,All,All Origins,2,A,us,YLL,crude rate,attributable,900.434298314476,563.446013659343,1349.45626658764,nvss,GBD
2013,All,All Origins,2,F,us,Deaths,absolute number,attributable,2937.48995697492,1850.00945809731,4420.00484952814,nvss,GBD
2013,All,All Origins,2,F,us,Deaths,age-adjusted rate,attributable,3.93123918783954,2.49725325201713,5.81585788279522,nvss,GBD
2013,All,All Origins,2,F,us,Deaths,crude rate,attributable,36.2458651127873,22.8273778830653,54.5387054663657,nvss,GBD
2013,All,All Origins,2,F,us,YLL,absolute number,attributable,61682.3957782515,38883.1731820505,92287.885206178,nvss,GBD
2013,All,All Origins,2,F,us,YLL,age-adjusted rate,attributable,125.266618600013,79.8974455248944,183.912763850308,nvss,GBD
2013,All,All Origins,2,F,us,YLL,crude rate,attributable,761.102788420921,479.781810646641,1138.74576176333,nvss,GBD
2013,All,All Origins,2,M,us,Deaths,absolute number,attributable,3480.42194242283,2156.93137104646,5283.43503466868,nvss,GBD
2013,All,All Origins,2,M,us,Deaths,age-adjusted rate,attributable,6.14434002497548,3.82288613804057,9.23536488023617,nvss,GBD
2013,All,All Origins,2,M,us,Deaths,crude rate,attributable,40.8952812029044,25.3441440186148,62.0808525616987,nvss,GBD
2013,All,All Origins,2,M,us,YLL,absolute number,attributable,87454.9120179754,53910.988472128,131744.850248624,nvss,GBD
2013,All,All Origins,2,M,us,YLL,age-adjusted rate,attributable,203.991915325698,127.08625938977,307.21628072572,nvss,GBD
2013,All,All Origins,2,M,us,YLL,crude rate,attributable,1027.60334198464,633.459123625523,1548.01423134386,nvss,GBD
2013,All,All Origins,3,A,us,Deaths,absolute number,attributable,21760.6029173596,13156.5228768678,33335.4259845628,nvss,GBD
2013,All,All Origins,3,A,us,Deaths,age-adjusted rate,attributable,4.39191914845371,2.64928980318348,6.68690012629854,nvss,GBD
2013,All,All Origins,3,A,us,Deaths,crude rate,attributable,37.4637227309568,22.6506741120329,57.3912938417576,nvss,GBD
2013,All,All Origins,3,A,us,YLL,absolute number,attributable,479383.110177975,290183.900306511,731040.575471693,nvss,GBD
2013,All,All Origins,3,A,us,YLL,age-adjusted rate,attributable,135.583216004206,82.3207235964788,206.625882433349,nvss,GBD
2013,All,All Origins,3,A,us,YLL,crude rate,attributable,825.320694918985,499.589520720404,1258.58192112416,nvss,GBD
2013,All,All Origins,3,F,us,Deaths,absolute number,attributable,10498.5113069658,6424.99178425688,16095.5472545562,nvss,GBD
2013,All,All Origins,3,F,us,Deaths,age-adjusted rate,attributable,3.29283419657619,2.01187491475453,5.03156891286412,nvss,GBD
2013,All,All Origins,3,F,us,Deaths,crude rate,attributable,35.3421256373453,21.6290538933319,54.1839539568736,nvss,GBD
2013,All,All Origins,3,F,us,YLL,absolute number,attributable,204233.999138547,124530.223127516,311716.336073549,nvss,GBD
2013,All,All Origins,3,F,us,YLL,age-adjusted rate,attributable,95.2850478904355,58.4294941124849,144.334112024168,nvss,GBD
2013,All,All Origins,3,F,us,YLL,crude rate,attributable,687.53211249892,419.217797908081,1049.36000834849,nvss,GBD
2013,All,All Origins,3,M,us,Deaths,absolute number,attributable,11210.0386044339,6744.24358862291,17325.972397323,nvss,GBD
2013,All,All Origins,3,M,us,Deaths,age-adjusted rate,attributable,5.57482176311067,3.35174630594244,8.55086470079677,nvss,GBD
