"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"< 1 year"	"0"	"2009"	"2009"	"Alabama"	"01"	61793
	"< 1 year"	"0"	"2009"	"2009"	"Alaska"	"02"	11076
	"< 1 year"	"0"	"2009"	"2009"	"Arizona"	"04"	86485
	"< 1 year"	"0"	"2009"	"2009"	"Arkansas"	"05"	38962
	"< 1 year"	"0"	"2009"	"2009"	"California"	"06"	499021
	"< 1 year"	"0"	"2009"	"2009"	"Colorado"	"08"	66225
	"< 1 year"	"0"	"2009"	"2009"	"Connecticut"	"09"	38407
	"< 1 year"	"0"	"2009"	"2009"	"Delaware"	"10"	11116
	"< 1 year"	"0"	"2009"	"2009"	"District of Columbia"	"11"	7515
	"< 1 year"	"0"	"2009"	"2009"	"Florida"	"12"	211370
	"< 1 year"	"0"	"2009"	"2009"	"Georgia"	"13"	134125
	"< 1 year"	"0"	"2009"	"2009"	"Hawaii"	"15"	18735
	"< 1 year"	"0"	"2009"	"2009"	"Idaho"	"16"	23793
	"< 1 year"	"0"	"2009"	"2009"	"Illinois"	"17"	164646
	"< 1 year"	"0"	"2009"	"2009"	"Indiana"	"18"	85566
	"< 1 year"	"0"	"2009"	"2009"	"Iowa"	"19"	39835
	"< 1 year"	"0"	"2009"	"2009"	"Kansas"	"20"	41149
	"< 1 year"	"0"	"2009"	"2009"	"Kentucky"	"21"	56089
	"< 1 year"	"0"	"2009"	"2009"	"Louisiana"	"22"	63570
	"< 1 year"	"0"	"2009"	"2009"	"Maine"	"23"	13419
	"< 1 year"	"0"	"2009"	"2009"	"Maryland"	"24"	73276
	"< 1 year"	"0"	"2009"	"2009"	"Massachusetts"	"25"	72805
	"< 1 year"	"0"	"2009"	"2009"	"Michigan"	"26"	115508
	"< 1 year"	"0"	"2009"	"2009"	"Minnesota"	"27"	69935
	"< 1 year"	"0"	"2009"	"2009"	"Mississippi"	"28"	41747
	"< 1 year"	"0"	"2009"	"2009"	"Missouri"	"29"	77293
	"< 1 year"	"0"	"2009"	"2009"	"Montana"	"30"	12211
	"< 1 year"	"0"	"2009"	"2009"	"Nebraska"	"31"	26211
	"< 1 year"	"0"	"2009"	"2009"	"Nevada"	"32"	37232
	"< 1 year"	"0"	"2009"	"2009"	"New Hampshire"	"33"	12923
	"< 1 year"	"0"	"2009"	"2009"	"New Jersey"	"34"	106263
	"< 1 year"	"0"	"2009"	"2009"	"New Mexico"	"35"	29254
	"< 1 year"	"0"	"2009"	"2009"	"New York"	"36"	236979
	"< 1 year"	"0"	"2009"	"2009"	"North Carolina"	"37"	125065
	"< 1 year"	"0"	"2009"	"2009"	"North Dakota"	"38"	8961
	"< 1 year"	"0"	"2009"	"2009"	"Ohio"	"39"	142388
	"< 1 year"	"0"	"2009"	"2009"	"Oklahoma"	"40"	53119
	"< 1 year"	"0"	"2009"	"2009"	"Oregon"	"41"	46701
	"< 1 year"	"0"	"2009"	"2009"	"Pennsylvania"	"42"	144233
	"< 1 year"	"0"	"2009"	"2009"	"Rhode Island"	"44"	11033
	"< 1 year"	"0"	"2009"	"2009"	"South Carolina"	"45"	60844
	"< 1 year"	"0"	"2009"	"2009"	"South Dakota"	"46"	11807
	"< 1 year"	"0"	"2009"	"2009"	"Tennessee"	"47"	80116
	"< 1 year"	"0"	"2009"	"2009"	"Texas"	"48"	385537
	"< 1 year"	"0"	"2009"	"2009"	"Utah"	"49"	53267
	"< 1 year"	"0"	"2009"	"2009"	"Vermont"	"50"	6051
	"< 1 year"	"0"	"2009"	"2009"	"Virginia"	"51"	100124
	"< 1 year"	"0"	"2009"	"2009"	"Washington"	"53"	89786
	"< 1 year"	"0"	"2009"	"2009"	"West Virginia"	"54"	21023
	"< 1 year"	"0"	"2009"	"2009"	"Wisconsin"	"55"	70826
	"< 1 year"	"0"	"2009"	"2009"	"Wyoming"	"56"	8172
	"< 1 year"	"0"	"2010"	"2010"	"Alabama"	"01"	59284
	"< 1 year"	"0"	"2010"	"2010"	"Alaska"	"02"	11047
	"< 1 year"	"0"	"2010"	"2010"	"Arizona"	"04"	86575
	"< 1 year"	"0"	"2010"	"2010"	"Arkansas"	"05"	38216
	"< 1 year"	"0"	"2010"	"2010"	"California"	"06"	495643
	"< 1 year"	"0"	"2010"	"2010"	"Colorado"	"08"	66958
	"< 1 year"	"0"	"2010"	"2010"	"Connecticut"	"09"	38093
	"< 1 year"	"0"	"2010"	"2010"	"Delaware"	"10"	11003
	"< 1 year"	"0"	"2010"	"2010"	"District of Columbia"	"11"	7581
	"< 1 year"	"0"	"2010"	"2010"	"Florida"	"12"	207939
	"< 1 year"	"0"	"2010"	"2010"	"Georgia"	"13"	132604
	"< 1 year"	"0"	"2010"	"2010"	"Hawaii"	"15"	18019
	"< 1 year"	"0"	"2010"	"2010"	"Idaho"	"16"	23596
	"< 1 year"	"0"	"2010"	"2010"	"Illinois"	"17"	163729
	"< 1 year"	"0"	"2010"	"2010"	"Indiana"	"18"	84014
	"< 1 year"	"0"	"2010"	"2010"	"Iowa"	"19"	39309
