"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"White"	"2106-3"	594
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Alaska"	"02"	"White"	"2106-3"	389
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Arizona"	"04"	"White"	"2106-3"	21609
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Arkansas"	"05"	"White"	"2106-3"	742
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"California"	"06"	"White"	"2106-3"	224194
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Colorado"	"08"	"White"	"2106-3"	11190
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Connecticut"	"09"	"White"	"2106-3"	4948
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Delaware"	"10"	"White"	"2106-3"	465
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"District of Columbia"	"11"	"White"	"2106-3"	462
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Florida"	"12"	"White"	"2106-3"	28715
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Georgia"	"13"	"White"	"2106-3"	3513
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Hawaii"	"15"	"White"	"2106-3"	750
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Idaho"	"16"	"White"	"2106-3"	1954
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Illinois"	"17"	"White"	"2106-3"	27517
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Indiana"	"18"	"White"	"2106-3"	2661
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Iowa"	"19"	"White"	"2106-3"	1068
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Kansas"	"20"	"White"	"2106-3"	3012
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Kentucky"	"21"	"White"	"2106-3"	547
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Louisiana"	"22"	"White"	"2106-3"	1355
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Maine"	"23"	"White"	"2106-3"	149
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Maryland"	"24"	"White"	"2106-3"	2833
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Massachusetts"	"25"	"White"	"2106-3"	6709
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Michigan"	"26"	"White"	"2106-3"	5336
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Minnesota"	"27"	"White"	"2106-3"	1811
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Mississippi"	"28"	"White"	"2106-3"	294
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Missouri"	"29"	"White"	"2106-3"	1433
	"< 1 year"	"0"	"1994"	"1994"	"Hispanic or Latino"	"2135-2"	"Montana"	"30"	"White"	"2106-3"	262
