"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"< 1 year"	"0"	"2000"	"2000"	"Alabama"	"01"	59617
	"< 1 year"	"0"	"2000"	"2000"	"Alaska"	"02"	9445
	"< 1 year"	"0"	"2000"	"2000"	"Arizona"	"04"	78966
	"< 1 year"	"0"	"2000"	"2000"	"Arkansas"	"05"	36428
	"< 1 year"	"0"	"2000"	"2000"	"California"	"06"	492631
	"< 1 year"	"0"	"2000"	"2000"	"Colorado"	"08"	61926
	"< 1 year"	"0"	"2000"	"2000"	"Connecticut"	"09"	43184
	"< 1 year"	"0"	"2000"	"2000"	"Delaware"	"10"	10412
	"< 1 year"	"0"	"2000"	"2000"	"District of Columbia"	"11"	6577
	"< 1 year"	"0"	"2000"	"2000"	"Florida"	"12"	189540
	"< 1 year"	"0"	"2000"	"2000"	"Georgia"	"13"	122726
	"< 1 year"	"0"	"2000"	"2000"	"Hawaii"	"15"	15708
	"< 1 year"	"0"	"2000"	"2000"	"Idaho"	"16"	19973
	"< 1 year"	"0"	"2000"	"2000"	"Illinois"	"17"	175439
	"< 1 year"	"0"	"2000"	"2000"	"Indiana"	"18"	85337
	"< 1 year"	"0"	"2000"	"2000"	"Iowa"	"19"	37668
	"< 1 year"	"0"	"2000"	"2000"	"Kansas"	"20"	38430
	"< 1 year"	"0"	"2000"	"2000"	"Kentucky"	"21"	53633
	"< 1 year"	"0"	"2000"	"2000"	"Louisiana"	"22"	64596
	"< 1 year"	"0"	"2000"	"2000"	"Maine"	"23"	13567
	"< 1 year"	"0"	"2000"	"2000"	"Maryland"	"24"	70434
	"< 1 year"	"0"	"2000"	"2000"	"Massachusetts"	"25"	78850
	"< 1 year"	"0"	"2000"	"2000"	"Michigan"	"26"	132503
	"< 1 year"	"0"	"2000"	"2000"	"Minnesota"	"27"	65826
	"< 1 year"	"0"	"2000"	"2000"	"Mississippi"	"28"	41567
	"< 1 year"	"0"	"2000"	"2000"	"Missouri"	"29"	73526
	"< 1 year"	"0"	"2000"	"2000"	"Montana"	"30"	10821
	"< 1 year"	"0"	"2000"	"2000"	"Nebraska"	"31"	23695
	"< 1 year"	"0"	"2000"	"2000"	"Nevada"	"32"	29711
	"< 1 year"	"0"	"2000"	"2000"	"New Hampshire"	"33"	14147
	"< 1 year"	"0"	"2000"	"2000"	"New Jersey"	"34"	111758
	"< 1 year"	"0"	"2000"	"2000"	"New Mexico"	"35"	26765
	"< 1 year"	"0"	"2000"	"2000"	"New York"	"36"	246751
	"< 1 year"	"0"	"2000"	"2000"	"North Carolina"	"37"	112027
	"< 1 year"	"0"	"2000"	"2000"	"North Dakota"	"38"	7700
	"< 1 year"	"0"	"2000"	"2000"	"Ohio"	"39"	149663
	"< 1 year"	"0"	"2000"	"2000"	"Oklahoma"	"40"	47989
	"< 1 year"	"0"	"2000"	"2000"	"Oregon"	"41"	44749
	"< 1 year"	"0"	"2000"	"2000"	"Pennsylvania"	"42"	142568
	"< 1 year"	"0"	"2000"	"2000"	"Rhode Island"	"44"	12351
	"< 1 year"	"0"	"2000"	"2000"	"South Carolina"	"45"	54540
	"< 1 year"	"0"	"2000"	"2000"	"South Dakota"	"46"	10324
	"< 1 year"	"0"	"2000"	"2000"	"Tennessee"	"47"	75874
	"< 1 year"	"0"	"2000"	"2000"	"Texas"	"48"	337037
	"< 1 year"	"0"	"2000"	"2000"	"Utah"	"49"	45201
	"< 1 year"	"0"	"2000"	"2000"	"Vermont"	"50"	6423
	"< 1 year"	"0"	"2000"	"2000"	"Virginia"	"51"	93863
	"< 1 year"	"0"	"2000"	"2000"	"Washington"	"53"	78825
	"< 1 year"	"0"	"2000"	"2000"	"West Virginia"	"54"	20292
	"< 1 year"	"0"	"2000"	"2000"	"Wisconsin"	"55"	68190
	"< 1 year"	"0"	"2000"	"2000"	"Wyoming"	"56"	6183
	"< 1 year"	"0"	"2001"	"2001"	"Alabama"	"01"	61537
	"< 1 year"	"0"	"2001"	"2001"	"Alaska"	"02"	9826
	"< 1 year"	"0"	"2001"	"2001"	"Arizona"	"04"	84721
	"< 1 year"	"0"	"2001"	"2001"	"Arkansas"	"05"	37013
	"< 1 year"	"0"	"2001"	"2001"	"California"	"06"	524357
	"< 1 year"	"0"	"2001"	"2001"	"Colorado"	"08"	66788
	"< 1 year"	"0"	"2001"	"2001"	"Connecticut"	"09"	42667
	"< 1 year"	"0"	"2001"	"2001"	"Delaware"	"10"	10769
	"< 1 year"	"0"	"2001"	"2001"	"District of Columbia"	"11"	7479
	"< 1 year"	"0"	"2001"	"2001"	"Florida"	"12"	205486
	"< 1 year"	"0"	"2001"	"2001"	"Georgia"	"13"	133456
	"< 1 year"	"0"	"2001"	"2001"	"Hawaii"	"15"	16759
	"< 1 year"	"0"	"2001"	"2001"	"Idaho"	"16"	20753
	"< 1 year"	"0"	"2001"	"2001"	"Illinois"	"17"	182014
	"< 1 year"	"0"	"2001"	"2001"	"Indiana"	"18"	87279
	"< 1 year"	"0"	"2001"	"2001"	"Iowa"	"19"	37930
	"< 1 year"	"0"	"2001"	"2001"	"Kansas"	"20"	38684
	"< 1 year"	"0"	"2001"	"2001"	"Kentucky"	"21"	54981
	"< 1 year"	"0"	"2001"	"2001"	"Louisiana"	"22"	65338
	"< 1 year"	"0"	"2001"	"2001"	"Maine"	"23"	13796
	"< 1 year"	"0"	"2001"	"2001"	"Maryland"	"24"	73227
	"< 1 year"	"0"	"2001"	"2001"	"Massachusetts"	"25"	80654
	"< 1 year"	"0"	"2001"	"2001"	"Michigan"	"26"	134204
	"< 1 year"	"0"	"2001"	"2001"	"Minnesota"	"27"	67988
	"< 1 year"	"0"	"2001"	"2001"	"Mississippi"	"28"	42545
	"< 1 year"	"0"	"2001"	"2001"	"Missouri"	"29"	75252
	"< 1 year"	"0"	"2001"	"2001"	"Montana"	"30"	10844
	"< 1 year"	"0"	"2001"	"2001"	"Nebraska"	"31"	24517
	"< 1 year"	"0"	"2001"	"2001"	"Nevada"	"32"	31451
	"< 1 year"	"0"	"2001"	"2001"	"New Hampshire"	"33"	14840
	"< 1 year"	"0"	"2001"	"2001"	"New Jersey"	"34"	111847
	"< 1 year"	"0"	"2001"	"2001"	"New Mexico"	"35"	27024
	"< 1 year"	"0"	"2001"	"2001"	"New York"	"36"	252724
	"< 1 year"	"0"	"2001"	"2001"	"North Carolina"	"37"	119054
	"< 1 year"	"0"	"2001"	"2001"	"North Dakota"	"38"	7432
	"< 1 year"	"0"	"2001"	"2001"	"Ohio"	"39"	152664
	"< 1 year"	"0"	"2001"	"2001"	"Oklahoma"	"40"	48729
	"< 1 year"	"0"	"2001"	"2001"	"Oregon"	"41"	45629
	"< 1 year"	"0"	"2001"	"2001"	"Pennsylvania"	"42"	144877
	"< 1 year"	"0"	"2001"	"2001"	"Rhode Island"	"44"	12464
	"< 1 year"	"0"	"2001"	"2001"	"South Carolina"	"45"	55996
	"< 1 year"	"0"	"2001"	"2001"	"South Dakota"	"46"	10217
	"< 1 year"	"0"	"2001"	"2001"	"Tennessee"	"47"	78463
	"< 1 year"	"0"	"2001"	"2001"	"Texas"	"48"	360971
	"< 1 year"	"0"	"2001"	"2001"	"Utah"	"49"	46153
	"< 1 year"	"0"	"2001"	"2001"	"Vermont"	"50"	6555
	"< 1 year"	"0"	"2001"	"2001"	"Virginia"	"51"	98243
	"< 1 year"	"0"	"2001"	"2001"	"Washington"	"53"	80803
	"< 1 year"	"0"	"2001"	"2001"	"West Virginia"	"54"	20543
	"< 1 year"	"0"	"2001"	"2001"	"Wisconsin"	"55"	68939
	"< 1 year"	"0"	"2001"	"2001"	"Wyoming"	"56"	6176
	"< 1 year"	"0"	"2002"	"2002"	"Alabama"	"01"	58963
	"< 1 year"	"0"	"2002"	"2002"	"Alaska"	"02"	9695
	"< 1 year"	"0"	"2002"	"2002"	"Arizona"	"04"	84886
