Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2016,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,12.4755704967418,9.74653945057951,15.204601542904,attributable
2016,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,18.1935403077484,15.074647683563,21.3124329319339,attributable
2016,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,12.4755704967418,9.74653945057951,15.204601542904,attributable
2016,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,18.1935403077484,15.074647683563,21.3124329319339,attributable
2016,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,10.7138101133653,8.37016415106659,13.0574560756639,attributable
2016,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,15.6243064153243,12.945853886983,18.3027589436656,attributable
2016,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,70.9813296352429,67.9100221029488,74.0526371675371,attributable
2016,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,73.7113807750599,70.2988168502887,76.7826883073541,attributable
2016,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,70.9813296352429,67.9100221029488,74.0526371675371,attributable
2016,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,73.7113807750599,70.2988168502887,76.7826883073541,attributable
2016,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,57.7753462422807,55.2754514529513,60.2752410316102,attributable
2016,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,59.9974749439069,57.2198140668741,62.4973697332364,attributable
2016,1,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,9.64907401331451,8.31816725285734,11.0631624463002,attributable
2016,1,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,10.5640724111288,9.06680230561449,11.9781608441145,attributable
2016,1,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,9.64907401331451,8.31816725285734,11.0631624463002,attributable
2016,1,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,10.5640724111288,9.06680230561449,11.9781608441145,attributable
2016,1,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,8.29607773113426,7.15179114752953,9.51188222621427,attributable
2016,1,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,9.0827747573625,7.79545235080718,10.2985792524425,attributable
2016,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,8.0223181685053,6.26743606914476,9.77720026786583,attributable
2016,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,11.6992139957369,9.69363445361057,13.7047935378632,attributable
2016,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,7.83567978569625,6.12162483257519,9.5497347388173,attributable
2016,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,11.427033020807,9.46811307438297,13.3859529672311,attributable
2016,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,6.76734850568223,5.28699102006424,8.24770599130022,attributable
2016,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,9.86904990411991,8.17721277769937,11.5608870305405,attributable
2016,2,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,22.7356356812482,21.7518822142712,23.7193891482253,attributable
2016,2,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,23.6100832074501,22.5170237996978,24.5938366744272,attributable
2016,2,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,21.6276543737305,20.6918424056364,22.5634663418246,attributable
2016,2,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,22.4594872342586,21.4196961585985,23.3952992023527,attributable
2016,2,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,16.9197032092239,16.1876006665171,17.6518057519307,attributable
2016,2,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,17.5704610249633,16.7570137552891,18.3025635676701,attributable
2016,2,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,9.38534356758255,8.09081342032978,10.7607818490386,attributable
2016,2,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,10.2753330438188,8.81898662815946,11.6507713252749,attributable
2016,2,White,Hispanic or Latino,A,666,666,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,8.62884104975086,7.43865607737143,9.893412582904,attributable
