Year,Ethnicity,Education,rural_urban_class,Gender.Code,Region,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method,agr_by,measure3
1990,"All, All Origins",666,large metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,17.8177612202685,17.8177612202685,17.8177612202685,National Vital Statistics System,EPA,nation,proportion of disparity to average
1990,"All, All Origins",666,large metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,12.3777826143035,12.3777826143035,12.3777826143035,National Vital Statistics System,burnett,nation,proportion of disparity to average
1990,"All, All Origins",666,large metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,7.73245927572672,7.73245927572672,7.73245927572672,National Vital Statistics System,di_gee,nation,proportion of disparity to average
1990,"All, All Origins",666,small-medium metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,19.6027590260897,19.6027590260897,19.6027590260897,National Vital Statistics System,EPA,nation,proportion of disparity to average
1990,"All, All Origins",666,small-medium metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,13.3312131969504,13.3312131969504,13.3312131969504,National Vital Statistics System,burnett,nation,proportion of disparity to average
1990,"All, All Origins",666,small-medium metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,9.03362341807473,9.03362341807473,9.03362341807473,National Vital Statistics System,di_gee,nation,proportion of disparity to average
1990,"All, All Origins",666,non metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,19.3142755618124,19.3142755618124,19.3142755618124,National Vital Statistics System,EPA,nation,proportion of disparity to average
1990,"All, All Origins",666,non metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,13.1883907864703,13.1883907864703,13.1883907864703,National Vital Statistics System,burnett,nation,proportion of disparity to average
1990,"All, All Origins",666,non metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,8.82034211336807,8.82034211336807,8.82034211336807,National Vital Statistics System,di_gee,nation,proportion of disparity to average
1990,American Indian or Alaska Native,666,large metro,All genders,United States,Deaths,absolute number,attributable,25,150,A,19.2982740029128,19.2982740029128,19.2982740029128,National Vital Statistics System,EPA,nation,proportion of disparity to average
