Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,20.554369754372,20.554369754372,20.554369754372,EPA,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,13.9496047163521,13.9496047163521,13.9496047163521,burnett,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,5.89672081744765,5.89672081744765,5.89672081744765,di_gee,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,26.5230485854091,26.5230485854091,26.5230485854091,EPA,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,16.351621830977,16.351621830977,16.351621830977,burnett,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,89.8291372476319,89.8291372476319,89.8291372476319,di_gee,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,31.298382994879,31.298382994879,31.298382994879,EPA,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,16.2268254981436,16.2268254981436,16.2268254981436,burnett,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,156.980573536153,156.980573536153,156.980573536153,di_gee,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,20.46187326574,20.46187326574,20.46187326574,EPA,attributable,25,150,nation,proportion of disparity to Black or African American attributable
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,13.3828783199664,13.3828783199664,13.3828783199664,burnett,attributable,25,150,nation,proportion of disparity to Black or African American attributable
